# shell	all	edge
5975725.000000 3961868.000000 21.328246
6020464.000000 3987011.000000 21.428380
6062529.000000 4014330.000000 21.528514
6122505.000000 4052082.000000 21.628648
6185973.000000 4094569.000000 21.728782
6223794.000000 4116985.000000 21.828916
6265690.000000 4142541.000000 21.929050
6335324.000000 4186699.000000 22.029183
6388711.000000 4222229.000000 22.129317
6435223.000000 4249608.000000 22.229451
6486964.000000 4281357.000000 22.329585
6543412.000000 4318598.000000 22.429719
6603012.000000 4356866.000000 22.529853
6638583.000000 4378324.000000 22.629987
6697609.000000 4414881.000000 22.730120
6748393.000000 4446171.000000 22.830254
6805752.000000 4482874.000000 22.930388
6857044.000000 4513251.000000 23.030522
6910994.000000 4546591.000000 23.130656
6965057.000000 4580239.000000 23.230790
7025069.000000 4620467.000000 23.330924
7072471.000000 4646872.000000 23.431058
7131774.000000 4685543.000000 23.531191
7185078.000000 4718512.000000 23.631325
7240658.000000 4753421.000000 23.731459
7292702.000000 4785292.000000 23.831593
7349446.000000 4820064.000000 23.931727
7404082.000000 4852805.000000 24.031861
7459769.000000 4888740.000000 24.131995
7508575.000000 4918799.000000 24.232129
7575754.000000 4962478.000000 24.332262
7639144.000000 5001074.000000 24.432396
7683719.000000 5027674.000000 24.532530
7746821.000000 5067655.000000 24.632664
7798548.000000 5099362.000000 24.732798
7857398.000000 5135297.000000 24.832932
7917779.000000 5174477.000000 24.933066
7974891.000000 5206851.000000 25.033199
8037660.000000 5248502.000000 25.133333
8090824.000000 5278103.000000 25.233467
8153043.000000 5319165.000000 25.333601
8196557.000000 5342246.000000 25.433735
8273032.000000 5392324.000000 25.533869
8321723.000000 5421273.000000 25.634003
8383224.000000 5456885.000000 25.734137
8446309.000000 5498811.000000 25.834270
8503282.000000 5532643.000000 25.934404
8563870.000000 5570208.000000 26.034538
8614583.000000 5600073.000000 26.134672
8676289.000000 5637085.000000 26.234806
8737716.000000 5675039.000000 26.334940
8803131.000000 5713324.000000 26.435074
8867409.000000 5754177.000000 26.535207
8918017.000000 5782416.000000 26.635341
8985260.000000 5826355.000000 26.735475
9033154.000000 5854469.000000 26.835609
9098903.000000 5893086.000000 26.935743
9163607.000000 5931310.000000 27.035877
9214834.000000 5962162.000000 27.136011
9290304.000000 6010231.000000 27.236145
9343384.000000 6039537.000000 27.336278
9416451.000000 6086162.000000 27.436412
9468521.000000 6116613.000000 27.536546
9540882.000000 6161687.000000 27.636680
9602195.000000 6198872.000000 27.736814
9664903.000000 6236531.000000 27.836948
9726154.000000 6272316.000000 27.937082
9799909.000000 6317691.000000 28.037216
9854813.000000 6350629.000000 28.137349
9908578.000000 6380302.000000 28.237483
9978982.000000 6425816.000000 28.337617
10039991.000000 6459293.000000 28.437751
10109270.000000 6499985.000000 28.537885
10166369.000000 6535325.000000 28.638019
10226313.000000 6570193.000000 28.738153
10292593.000000 6612033.000000 28.838286
10359146.000000 6650648.000000 28.938420
10409989.000000 6682946.000000 29.038554
10493561.000000 6733879.000000 29.138688
10542635.000000 6758422.000000 29.238822
10608695.000000 6799354.000000 29.338956
10695087.000000 6851815.000000 29.439090
10748577.000000 6882905.000000 29.539224
10818522.000000 6926196.000000 29.639357
10882227.000000 6961389.000000 29.739491
10953846.000000 7006493.000000 29.839625
11024497.000000 7047842.000000 29.939759
11095017.000000 7092133.000000 30.039893
11146369.000000 7117612.000000 30.140027
11221471.000000 7164259.000000 30.240161
11266095.000000 7187717.000000 30.340295
11361056.000000 7247881.000000 30.440428
11433153.000000 7293155.000000 30.540562
11492863.000000 7323560.000000 30.640696
11564663.000000 7367317.000000 30.740830
11631624.000000 7407036.000000 30.840964
11692535.000000 7441467.000000 30.941098
11768466.000000 7488016.000000 31.041232
11827438.000000 7518735.000000 31.141365
11898594.000000 7564164.000000 31.241499
11967652.000000 7599122.000000 31.341633
12034896.000000 7640385.000000 31.441767
12107063.000000 7684892.000000 31.541901
12186757.000000 7729350.000000 31.642035
12246758.000000 7764161.000000 31.742169
12305392.000000 7796416.000000 31.842303
12387986.000000 7845334.000000 31.942436
12464255.000000 7892490.000000 32.042570
12531294.000000 7931299.000000 32.142704
12602383.000000 7971554.000000 32.242838
12665021.000000 8006593.000000 32.342972
12758090.000000 8063415.000000 32.443106
12830549.000000 8107041.000000 32.543240
12889776.000000 8138670.000000 32.643373
12963864.000000 8180518.000000 32.743507
13020367.000000 8212495.000000 32.843641
13086737.000000 8250317.000000 32.943775
13160362.000000 8292793.000000 33.043909
13232302.000000 8333531.000000 33.144043
13310036.000000 8380412.000000 33.244177
13383163.000000 8421535.000000 33.344311
13462027.000000 8471718.000000 33.444444
13528433.000000 8503494.000000 33.544578
13596791.000000 8542980.000000 33.644712
13657337.000000 8578077.000000 33.744846
13732830.000000 8621758.000000 33.844980
13817448.000000 8671737.000000 33.945114
13889725.000000 8713014.000000 34.045248
13956095.000000 8748905.000000 34.145382
14038469.000000 8797464.000000 34.245515
14111529.000000 8839664.000000 34.345649
14191008.000000 8887282.000000 34.445783
14260952.000000 8927077.000000 34.545917
14329771.000000 8964297.000000 34.646051
14395305.000000 9000040.000000 34.746185
14476102.000000 9045544.000000 34.846319
14552086.000000 9089292.000000 34.946452
14641526.000000 9143761.000000 35.046586
14690695.000000 9167020.000000 35.146720
14799236.000000 9233893.000000 35.246854
14842381.000000 9256436.000000 35.346988
14923625.000000 9303354.000000 35.447122
14993033.000000 9340965.000000 35.547256
15064059.000000 9376893.000000 35.647390
15161633.000000 9434355.000000 35.747523
15232194.000000 9474045.000000 35.847657
15318645.000000 9523938.000000 35.947791
15370883.000000 9551741.000000 36.047925
15466610.000000 9607292.000000 36.148059
15544284.000000 9653094.000000 36.248193
15618254.000000 9687225.000000 36.348327
15693984.000000 9734807.000000 36.448461
15769990.000000 9775749.000000 36.548594
15853254.000000 9824145.000000 36.648728
15929804.000000 9866017.000000 36.748862
16005306.000000 9910247.000000 36.848996
16085786.000000 9952967.000000 36.949130
16149665.000000 9987465.000000 37.049264
16254178.000000 10050705.000000 37.149398
16313895.000000 10080677.000000 37.249531
16391321.000000 10123948.000000 37.349665
16467366.000000 10163259.000000 37.449799
16562914.000000 10220649.000000 37.549933
16639306.000000 10261839.000000 37.650067
16726486.000000 10309622.000000 37.750201
16783399.000000 10340007.000000 37.850335
16873883.000000 10390578.000000 37.950469
16958942.000000 10439317.000000 38.050602
17055691.000000 10494850.000000 38.150736
17109976.000000 10521937.000000 38.250870
17205643.000000 10574949.000000 38.351004
17273387.000000 10611209.000000 38.451138
17364518.000000 10663344.000000 38.551272
17451174.000000 10711192.000000 38.651406
17509662.000000 10742774.000000 38.751539
17603590.000000 10796458.000000 38.851673
17683199.000000 10836322.000000 38.951807
17779544.000000 10896490.000000 39.051941
17836905.000000 10921431.000000 39.152075
17933545.000000 10975287.000000 39.252209
18038783.000000 11040790.000000 39.352343
18092910.000000 11060897.000000 39.452477
18186314.000000 11115411.000000 39.552610
18259991.000000 11153718.000000 39.652744
18347140.000000 11202742.000000 39.752878
18435964.000000 11249457.000000 39.853012
18530699.000000 11306708.000000 39.953146
18604106.000000 11343230.000000 40.053280
18696184.000000 11394388.000000 40.153414
18765649.000000 11430364.000000 40.253548
18855905.000000 11478532.000000 40.353681
18943048.000000 11526875.000000 40.453815
19036534.000000 11578148.000000 40.553949
19111220.000000 11619073.000000 40.654083
19210750.000000 11673828.000000 40.754217
19300082.000000 11722203.000000 40.854351
19362257.000000 11755630.000000 40.954485
19445200.000000 11795719.000000 41.054618
19526536.000000 11842921.000000 41.154752
19646934.000000 11913363.000000 41.254886
19712061.000000 11941621.000000 41.355020
19799759.000000 11988316.000000 41.455154
19884330.000000 12032438.000000 41.555288
19948156.000000 12060653.000000 41.655422
20048734.000000 12119752.000000 41.755556
20151285.000000 12176795.000000 41.855689
20225857.000000 12217245.000000 41.955823
20322202.000000 12268146.000000 42.055957
20392215.000000 12303667.000000 42.156091
20487800.000000 12356333.000000 42.256225
20576192.000000 12405671.000000 42.356359
20674840.000000 12459772.000000 42.456493
20746747.000000 12491142.000000 42.556627
20843979.000000 12545627.000000 42.656760
20918521.000000 12582036.000000 42.756894
21009653.000000 12633346.000000 42.857028
21081453.000000 12667607.000000 42.957162
21197981.000000 12734554.000000 43.057296
21277470.000000 12776030.000000 43.157430
21356521.000000 12813155.000000 43.257564
21455029.000000 12868071.000000 43.357697
21537206.000000 12908053.000000 43.457831
21643894.000000 12967536.000000 43.557965
21728738.000000 13012278.000000 43.658099
21832675.000000 13070973.000000 43.758233
21893648.000000 13093170.000000 43.858367
21990011.000000 13144742.000000 43.958501
22065814.000000 13183222.000000 44.058635
22177051.000000 13243718.000000 44.158768
22264077.000000 13288434.000000 44.258902
22347074.000000 13330711.000000 44.359036
22430505.000000 13373066.000000 44.459170
22526767.000000 13422447.000000 44.559304
22596906.000000 13457120.000000 44.659438
22717657.000000 13526634.000000 44.759572
22791032.000000 13558094.000000 44.859705
22903285.000000 13622047.000000 44.959839
22979817.000000 13658745.000000 45.059973
23080026.000000 13709865.000000 45.160107
23160338.000000 13750003.000000 45.260241
23253011.000000 13798706.000000 45.360375
23343769.000000 13846674.000000 45.460509
23443438.000000 13898740.000000 45.560643
23511295.000000 13927340.000000 45.660776
23626810.000000 13991631.000000 45.760910
23713238.000000 14035557.000000 45.861044
23798899.000000 14078146.000000 45.961178
23905049.000000 14137736.000000 46.061312
23974607.000000 14167355.000000 46.161446
24070264.000000 14213063.000000 46.261580
24178747.000000 14272222.000000 46.361714
24277747.000000 14323788.000000 46.461847
24360389.000000 14362331.000000 46.561981
24460861.000000 14420111.000000 46.662115
24561900.000000 14470644.000000 46.762249
24646248.000000 14511323.000000 46.862383
24746767.000000 14564718.000000 46.962517
24826015.000000 14599270.000000 47.062651
24929393.000000 14656669.000000 47.162784
25025126.000000 14702874.000000 47.262918
25110638.000000 14743336.000000 47.363052
25203012.000000 14789859.000000 47.463186
25278612.000000 14825816.000000 47.563320
25398684.000000 14891541.000000 47.663454
25499775.000000 14944593.000000 47.763588
25591990.000000 14987103.000000 47.863722
25666193.000000 15020168.000000 47.963855
25756869.000000 15067732.000000 48.063989
25868043.000000 15119448.000000 48.164123
25981848.000000 15179958.000000 48.264257
26078831.000000 15235578.000000 48.364391
26179987.000000 15283117.000000 48.464525
26275714.000000 15329701.000000 48.564659
26371106.000000 15379956.000000 48.664793
26460518.000000 15423798.000000 48.764926
26597897.000000 15499325.000000 48.865060
26671417.000000 15528324.000000 48.965194
26755004.000000 15569507.000000 49.065328
26855691.000000 15614999.000000 49.165462
26970294.000000 15675287.000000 49.265596
27044417.000000 15707616.000000 49.365730
27138654.000000 15756107.000000 49.465863
27235535.000000 15801342.000000 49.565997
27370695.000000 15877391.000000 49.666131
27433443.000000 15900317.000000 49.766265
27532099.000000 15952327.000000 49.866399
27630937.000000 16000194.000000 49.966533
27738837.000000 16052140.000000 50.066667
27828883.000000 16093213.000000 50.166801
27937563.000000 16151266.000000 50.266934
28027851.000000 16192135.000000 50.367068
28121311.000000 16238889.000000 50.467202
